date,temperature
2025-11-06T17:01:56+02:00,84.77
2025-11-06T17:02:06+02:00,86.91
2025-11-06T17:02:16+02:00,83.38
2025-11-06T17:02:26+02:00,84.06
2025-11-06T17:45:07+02:00,83.61
2025-11-06T17:45:11+02:00,83.99
2025-11-06T17:45:15+02:00,86.15
2025-11-06T17:45:19+02:00,86.34
2025-11-06T17:45:23+02:00,85.77
2025-11-06T17:45:27+02:00,87.25
2025-11-06T17:45:31+02:00,83.33
2025-11-06T17:45:35+02:00,87.05
2025-11-06T17:45:39+02:00,84.11
2025-11-06T17:45:43+02:00,87.39
2025-11-06T17:45:47+02:00,87.7
2025-11-06T17:45:51+02:00,86.22
2025-11-06T17:45:55+02:00,85.78
2025-11-06T17:45:59+02:00,84.66
2025-11-06T17:46:03+02:00,87.42
2025-11-06T17:46:07+02:00,83.3
2025-11-06T17:46:11+02:00,84.33
2025-11-06T17:46:15+02:00,83.79
2025-11-06T17:46:19+02:00,85.66
2025-11-06T17:46:23+02:00,84.75
2025-11-06T17:46:27+02:00,84.5
2025-11-06T17:46:31+02:00,87.16
2025-11-06T17:46:35+02:00,83.3
2025-11-06T17:46:39+02:00,84.43
2025-11-06T17:46:43+02:00,85.59
2025-11-06T17:46:47+02:00,86.01
2025-11-06T17:46:52+02:00,85.38
2025-11-06T17:46:56+02:00,87.79
2025-11-06T17:47:00+02:00,84.64
2025-11-06T17:47:04+02:00,86.31
2025-11-06T17:47:08+02:00,84.1
2025-11-06T17:47:12+02:00,86.94
2025-11-06T17:47:16+02:00,83.21
2025-11-06T17:47:20+02:00,84.6
2025-11-06T17:47:24+02:00,86.91
2025-11-06T17:47:28+02:00,85.45
2025-11-06T17:47:32+02:00,87.95
2025-11-06T17:47:36+02:00,86.67
2025-11-06T17:47:40+02:00,84.14
2025-11-06T17:47:44+02:00,86.09
